index|chunk|cui|source|code|string
0|********** |-|-|-|-
11|Emergency Department|C0562508|SNOMEDCT_US|225728007|Accident and Emergency department
31| |-|-|-|-
32|Medical Record|C0025102|SNOMEDCT_US|129465004|Medical record, device
46| ********** Identification **********|-|-|-|-
83|Triage|C0040861|SNOMEDCT_US|225390008|Triage
89| Information:<NEW_LINE><NEW_LINE>- |-|-|-|-
106|Triage|C0040861|SNOMEDCT_US|225390008|Triage
112| |-|-|-|-
113|Level|C0456079|SNOMEDCT_US|276625007|Level
118|: |-|-|-|-
120|Emergency severity index|C3864289|SNOMEDCT_US|713010006|Emergency Severity Index
144| |-|-|-|-
145|level 2|C0456948|SNOMEDCT_US|277734003|Level 2
152|<NEW_LINE>- |-|-|-|-
155|Computer|C0009622|SNOMEDCT_US|706692004|Computer
163| |-|-|-|-
164|Classification|C0008902|SNOMEDCT_US|278201002|Classification
178|: |-|-|-|-
180|Emergency severity index|C3864289|SNOMEDCT_US|713010006|Emergency Severity Index
204| |-|-|-|-
205|level 2|C0456948|SNOMEDCT_US|277734003|Level 2
212|<NEW_LINE><NEW_LINE>|-|-|-|-
214|Chief Complaint|C0456948|<LOST>|<LOST>|Chief complaint
229|:<NEW_LINE><NEW_LINE>- Blurred |-|-|-|-
242|vision|C0042789|SNOMEDCT_US|281004000|Visual function
248| in |-|-|-|-
252|right eye|C0042789|<LOST>|<LOST>|Right eye structure
261|.<NEW_LINE>- |-|-|-|-
265|Assessment|C1261322|SNOMEDCT_US|129265001|Evaluation - action
275| Basis: Acute |-|-|-|-
289|visual disturbance|C0547030|SNOMEDCT_US|63102001|Visual disturbance
307|<NEW_LINE><NEW_LINE>|-|-|-|-
309|Past Medical History|C2317559|SNOMEDCT_US|417662000|History of clinical finding in subject
329|:<NEW_LINE><NEW_LINE>- No |-|-|-|-
337|previous|C0205156|SNOMEDCT_US|9130008|Previous
345| |-|-|-|-
346|condition|C0348080|SNOMEDCT_US|260905004|Condition
355| |-|-|-|-
356|reported|C0684224|SNOMEDCT_US|229059009|Report
364|.<NEW_LINE><NEW_LINE>|-|-|-|-
367|Travel|C0040802|SNOMEDCT_US|420008001|Travel
373|, |-|-|-|-
375|Occupation|C0028811|SNOMEDCT_US|14679004|Occupation
385|, |-|-|-|-
387|Contact|C0332158|SNOMEDCT_US|11723008|Contact with (contextual qualifier)
394| & Cluster |-|-|-|-
405|History|C0262926|SNOMEDCT_US|392521001|History of (contextual qualifier)
412|:<NEW_LINE><NEW_LINE>- |-|-|-|-
417|Travel|C0040802|SNOMEDCT_US|420008001|Travel
423| |-|-|-|-
424|History|C0262926|SNOMEDCT_US|392521001|History of (contextual qualifier)
431|: No |-|-|-|-
436|recent|C0332185|SNOMEDCT_US|6493001|Recent
442| |-|-|-|-
443|travel|C0040802|SNOMEDCT_US|420008001|Travel
449|<NEW_LINE>- Cluster |-|-|-|-
460|History|C0262926|SNOMEDCT_US|392521001|History of (contextual qualifier)
467|: No |-|-|-|-
472|known|C0205309|SNOMEDCT_US|36692007|Known
477| cluster |-|-|-|-
486|exposure|C0332157|SNOMEDCT_US|24932003|Exposure to (contextual qualifier)
494|<NEW_LINE>- |-|-|-|-
497|Occupation:|C0421456|SNOMEDCT_US|184104002|Patient occupation
508| No |-|-|-|-
512|special|C0205555|SNOMEDCT_US|67995009|Special
519| |-|-|-|-
520|occupational|C0521127|SNOMEDCT_US|87923000|Occupational
532| |-|-|-|-
533|risks|C0035647|SNOMEDCT_US|30207005|Risk of (contextual qualifier)
538|<NEW_LINE>- |-|-|-|-
541|Contact with|C0332158|SNOMEDCT_US|11723008|Contact with (contextual qualifier)
553| |-|-|-|-
554|Patients|C0030705|SNOMEDCT_US|116154003|Patient
562|: No |-|-|-|-
567|patient|C0030705|SNOMEDCT_US|116154003|Patient
574| |-|-|-|-
575|contact|C0332158|SNOMEDCT_US|11723008|Contact with (contextual qualifier)
582|<NEW_LINE>- |-|-|-|-
585|Contact with|C0332158|SNOMEDCT_US|11723008|Contact with (contextual qualifier)
597| |-|-|-|-
598|Animals|C0003062|SNOMEDCT_US|387961004|Kingdom Animalia
605|: No |-|-|-|-
610|animal|C0003062|SNOMEDCT_US|387961004|Kingdom Animalia
616| |-|-|-|-
617|contact|C0332158|SNOMEDCT_US|11723008|Contact with (contextual qualifier)
624|<NEW_LINE><NEW_LINE>|-|-|-|-
626|Vital Signs|C0150404|SNOMEDCT_US|61746007|Taking patient vital signs
637|:<NEW_LINE><NEW_LINE>- |-|-|-|-
642|Blood Pressure|C0005823|SNOMEDCT_US|75367002|Blood pressure
656|: |-|-|-|-
658|Hypotension|C0020649|SNOMEDCT_US|45007003|Low blood pressure
669|<NEW_LINE>- |-|-|-|-
672|Heart Rate|C0018810|SNOMEDCT_US|364075005|Heart rate
682|: |-|-|-|-
684|Tachycardia|C0039231|SNOMEDCT_US|3424008|Tachycardia
695|<NEW_LINE>- |-|-|-|-
698|Oxygen Saturation|C0428174|SNOMEDCT_US|103228002|Hemoglobin saturation with oxygen
715|: |-|-|-|-
717|Normal|C0439166|SNOMEDCT_US|258744000|% normal
723| |-|-|-|-
724|saturation|C0428174|SNOMEDCT_US|103228002|Hemoglobin saturation with oxygen
734|<NEW_LINE>- |-|-|-|-
737|Respiratory Rate|C0231832|SNOMEDCT_US|86290005|Respiratory rate
753|: |-|-|-|-
755|Normal respiratory rate|C0231833|SNOMEDCT_US|20716004|Respiratory rate normal
778|<NEW_LINE>- |-|-|-|-
781|Body Temperature|C0005903|SNOMEDCT_US|386725007|Body temperature
797|: |-|-|-|-
799|Normal body temperature|C0231262|SNOMEDCT_US|87273009|Temperature normal
822|<NEW_LINE>- |-|-|-|-
825|Pain Score|C0582148|SNOMEDCT_US|225908003|Pain score
835|: |-|-|-|-
837|No pain|C0234225|SNOMEDCT_US|81765008|No pain
